state_abbreviation,rfb_municipality_name_norm,ibge_municipality_name_norm
TO,COUTO DE MAGALHAES,COUTO MAGALHAES
SC,BALNEARIO DE PICARRAS,BALNEARIO PICARRAS
TO,SAO VALERIO DA NATIVIDADE,SAO VALERIO
TO,FORTALEZA DO TABOCAO,TABOCAO
SE,AMPARO DE SAO FRANCISCO,AMPARO DO SAO FRANCISCO
RR,SAO LUIZ,SAO LUIZ DO ANAUA
RN,ARES,AREZ
RJ,PARATI,PARATY
PA,ELDORADO DOS CARAJAS,ELDORADO DO CARAJAS
PA,SANTA ISABEL DO PARA,SANTA IZABEL DO PARA
BA,MUQUEM DE SAO FRANCISCO,MUQUEM DO SAO FRANCISCO
BA,SANTA TERESINHA,SANTA TEREZINHA
MG,AMPARO DA SERRA,AMPARO DO SERRA
MG,BRASOPOLIS,BRAZOPOLIS
MT,SANTO ANTONIO DO LEVERGER,SANTO ANTONIO DE LEVERGER
RN,BOA SAUDE,JANUARIO CICCO
